flight_id,airline,origin,destination,flight_date
F0101,Qatar Airways,Lake Joshuamouth,Johnshire,2025-07-14
F0102,Delta,Schroederbury,Sethfort,2025-06-25
F0103,Qatar Airways,Jameschester,Ashleyberg,2025-07-15
F0104,Qatar Airways,Huangstad,Catherinehaven,2025-06-29
F0105,Air Canada,Aprilton,Victorville,2025-07-05
F0106,Lufthansa,East Austinmouth,New Toddburgh,2025-06-22
F0107,Air Canada,Mitchelltown,Johnsonbury,2025-07-01
F0108,Lufthansa,New Jennifer,Lake Tracie,2025-06-28
F0109,Air Canada,Williamsland,South Carolberg,2025-06-14
F0110,Emirates,Churchport,Wrightton,2025-07-15
